STATION,YEAR,MONTH,TEMPERATURE_C
JABALPUR,2004,3,19.7
JABALPUR,2004,4,22.6
JABALPUR,2004,5,31.8
JABALPUR,2004,6,35.3
JABALPUR,2004,7,37.2
JABALPUR,2004,8,33.6
JABALPUR,2004,9,28.2
JABALPUR,2004,10,23.2
JABALPUR,2004,11,21.5
JABALPUR,2004,12,15.8
JABALPUR,2005,1,12.4
JABALPUR,2005,2,14.9
JABALPUR,2005,3,19.8
JABALPUR,2005,4,24.4
JABALPUR,2005,5,30.7
JABALPUR,2005,6,37.3
JABALPUR,2005,7,34.3
JABALPUR,2005,8,36.4
JABALPUR,2005,9,26.7
JABALPUR,2005,10,30.0
JABALPUR,2005,11,20.7
JABALPUR,2005,12,14.4
JABALPUR,2006,1,12.4
JABALPUR,2006,2,15.3
JABALPUR,2006,3,21.0
JABALPUR,2006,4,23.5
JABALPUR,2006,5,29.2
JABALPUR,2006,6,35.4
JABALPUR,2006,7,37.9
JABALPUR,2006,8,37.0
JABALPUR,2006,9,32.1
JABALPUR,2006,10,22.4
JABALPUR,2006,11,18.4
JABALPUR,2006,12,14.2
JABALPUR,2007,1,14.1
JABALPUR,2007,2,15.6
JABALPUR,2007,3,15.0
JABALPUR,2007,4,24.7
JABALPUR,2007,5,32.2
JABALPUR,2007,6,37.8
JABALPUR,2007,7,40.0
JABALPUR,2007,8,34.7
JABALPUR,2007,9,30.4
JABALPUR,2007,10,25.3
JABALPUR,2007,11,19.0
JABALPUR,2007,12,17.0
JABALPUR,2008,1,10.0
JABALPUR,2008,2,16.5
JABALPUR,2008,3,18.6
JABALPUR,2008,4,21.4
JABALPUR,2008,5,32.5
JABALPUR,2008,6,30.2
JABALPUR,2008,7,37.8
JABALPUR,2008,8,35.8
JABALPUR,2008,9,32.2
JABALPUR,2008,10,23.1
JABALPUR,2008,11,18.7
JABALPUR,2008,12,12.7
JABALPUR,2009,1,11.2
JABALPUR,2009,2,18.0
JABALPUR,2009,3,15.8
JABALPUR,2009,4,24.6
JABALPUR,2009,5,33.1
JABALPUR,2009,6,39.0
JABALPUR,2009,7,36.0
JABALPUR,2009,8,34.2
JABALPUR,2009,9,31.6
JABALPUR,2009,10,28.1
JABALPUR,2009,11,17.5
JABALPUR,2009,12,13.3
JABALPUR,2010,1,13.3
JABALPUR,2010,2,15.0
JABALPUR,2010,3,17.1
JABALPUR,2010,4,23.7
JABALPUR,2010,5,32.1
JABALPUR,2010,6,36.8
JABALPUR,2010,7,35.5
JABALPUR,2010,8,38.4
JABALPUR,2010,9,30.5
JABALPUR,2010,10,26.1
JABALPUR,2010,11,23.3
JABALPUR,2010,12,16.5
JABALPUR,2011,1,13.5
JABALPUR,2011,2,15.6
JABALPUR,2011,3,21.1
JABALPUR,2011,4,23.3
JABALPUR,2011,5,27.1
JABALPUR,2011,6,33.2
JABALPUR,2011,7,36.4
JABALPUR,2011,8,37.0
JABALPUR,2011,9,29.8
JABALPUR,2011,10,25.6
JABALPUR,2011,11,22.2
JABALPUR,2011,12,16.1
JABALPUR,2012,1,15.3
JABALPUR,2012,2,12.0
JABALPUR,2012,3,17.7
JABALPUR,2012,4,26.2
JABALPUR,2012,5,31.0
JABALPUR,2012,6,38.8
JABALPUR,2012,7,42.2
JABALPUR,2012,8,31.9
JABALPUR,2012,9,31.8
JABALPUR,2012,10,26.3
JABALPUR,2012,11,16.6
JABALPUR,2012,12,12.9
JABALPUR,2013,1,14.2
JABALPUR,2013,2,15.4
JABALPUR,2013,3,19.9
JABALPUR,2013,4,23.8
JABALPUR,2013,5,31.0
JABALPUR,2013,6,36.7
JABALPUR,2013,7,37.8
JABALPUR,2013,8,34.5
JABALPUR,2013,9,30.3
JABALPUR,2013,10,24.2
JABALPUR,2013,11,20.9
JABALPUR,2013,12,11.1
JABALPUR,2014,1,15.5
JABALPUR,2014,2,19.7
JABALPUR,2014,3,19.4
JABALPUR,2014,4,29.0
JABALPUR,2014,5,33.4
JABALPUR,2014,6,36.6
JABALPUR,2014,7,35.9
JABALPUR,2014,8,35.4
JABALPUR,2014,9,30.1
JABALPUR,2014,10,26.9
JABALPUR,2014,11,22.0
JABALPUR,2014,12,14.2
JABALPUR,2015,1,9.3
JABALPUR,2015,2,14.4
JABALPUR,2015,3,20.3
JABALPUR,2015,4,28.7
JABALPUR,2015,5,32.2
JABALPUR,2015,6,33.5
JABALPUR,2015,7,39.2
JABALPUR,2015,8,38.5
JABALPUR,2015,9,28.8
JABALPUR,2015,10,21.5
JABALPUR,2015,11,18.7
JABALPUR,2015,12,11.4
JABALPUR,2016,1,11.9
JABALPUR,2016,2,8.9
JABALPUR,2016,3,22.5
JABALPUR,2016,4,24.1
JABALPUR,2016,5,31.9
JABALPUR,2016,6,36.0
JABALPUR,2016,7,39.5
JABALPUR,2016,8,35.0
JABALPUR,2016,9,29.3
JABALPUR,2016,10,25.7
JABALPUR,2016,11,17.4
JABALPUR,2016,12,14.1
JABALPUR,2017,1,11.5
JABALPUR,2017,2,16.4
JABALPUR,2017,3,18.4
JABALPUR,2017,4,26.0
JABALPUR,2017,5,29.9
JABALPUR,2017,6,32.9
JABALPUR,2017,7,34.3
JABALPUR,2017,8,35.3
JABALPUR,2017,9,33.3
JABALPUR,2017,10,23.4
JABALPUR,2017,11,21.3
JABALPUR,2017,12,14.7
JABALPUR,2018,1,14.4
JABALPUR,2018,2,13.9
JABALPUR,2018,3,19.2
JABALPUR,2018,4,19.2
JABALPUR,2018,5,32.8
JABALPUR,2018,6,33.4
JABALPUR,2018,7,41.1
JABALPUR,2018,8,33.9
JABALPUR,2018,9,33.7
JABALPUR,2018,10,23.4
JABALPUR,2018,11,17.1
JABALPUR,2018,12,17.9
JABALPUR,2019,1,12.5
JABALPUR,2019,2,11.5
JABALPUR,2019,3,18.8
JABALPUR,2019,4,31.4
JABALPUR,2019,5,29.5
JABALPUR,2019,6,37.7
JABALPUR,2019,7,34.1
JABALPUR,2019,8,34.1
JABALPUR,2019,9,33.2
JABALPUR,2019,10,27.6
JABALPUR,2019,11,20.7
JABALPUR,2019,12,12.9
JABALPUR,2020,1,15.1
JABALPUR,2020,2,13.8
JABALPUR,2020,3,19.8
JABALPUR,2020,4,22.9
JABALPUR,2020,5,33.8
JABALPUR,2020,6,36.3
JABALPUR,2020,7,37.9
JABALPUR,2020,8,37.4
JABALPUR,2020,9,36.2
JABALPUR,2020,10,25.7
JABALPUR,2020,11,18.3
JABALPUR,2020,12,14.0
JABALPUR,2021,1,15.6
JABALPUR,2021,2,16.9
JABALPUR,2021,3,18.8
JABALPUR,2021,4,23.8
JABALPUR,2021,5,31.0
JABALPUR,2021,6,34.4
JABALPUR,2021,7,38.1
JABALPUR,2021,8,34.7
JABALPUR,2021,9,29.2
JABALPUR,2021,10,24.4
JABALPUR,2021,11,22.0
JABALPUR,2021,12,13.7
JABALPUR,2022,1,13.0
JABALPUR,2022,2,15.3
JABALPUR,2022,3,21.4
JABALPUR,2022,4,25.4
JABALPUR,2022,5,30.5
JABALPUR,2022,6,34.4
JABALPUR,2022,7,34.3
JABALPUR,2022,8,39.3
JABALPUR,2022,9,29.6
JABALPUR,2022,10,25.4
JABALPUR,2022,11,20.0
JABALPUR,2022,12,16.8
JABALPUR,2023,1,12.5
JABALPUR,2023,2,18.4
JABALPUR,2023,3,17.1
JABALPUR,2023,4,24.8
JABALPUR,2023,5,32.7
JABALPUR,2023,6,35.2
JABALPUR,2023,7,37.4
JABALPUR,2023,8,34.5
JABALPUR,2023,9,30.5
JABALPUR,2023,10,26.2
JABALPUR,2023,11,21.2
JABALPUR,2023,12,16.2
GWALIOR,2000,1,16.7
GWALIOR,2000,2,13.9
GWALIOR,2000,3,18.4
GWALIOR,2000,4,21.8
GWALIOR,2000,5,28.9
GWALIOR,2000,6,38.8
GWALIOR,2000,7,36.7
GWALIOR,2000,8,37.7
GWALIOR,2000,9,31.5
GWALIOR,2000,10,26.0
GWALIOR,2000,11,21.0
GWALIOR,2000,12,16.0
GWALIOR,2001,1,9.3
GWALIOR,2001,2,17.4
GWALIOR,2001,3,20.9
GWALIOR,2001,4,27.6
GWALIOR,2001,5,32.5
GWALIOR,2001,6,32.2
GWALIOR,2001,7,35.3
GWALIOR,2001,8,35.0
GWALIOR,2001,9,32.1
GWALIOR,2001,10,28.4
GWALIOR,2001,11,19.4
GWALIOR,2001,12,12.0
GWALIOR,2002,1,12.9
GWALIOR,2002,2,13.2
GWALIOR,2002,3,18.8
GWALIOR,2002,4,26.5
GWALIOR,2002,5,28.1
GWALIOR,2002,6,33.9
GWALIOR,2002,7,39.7
GWALIOR,2002,8,35.6
GWALIOR,2002,9,32.3
GWALIOR,2002,10,23.5
GWALIOR,2002,11,17.4
GWALIOR,2002,12,14.7
GWALIOR,2003,1,12.9
GWALIOR,2003,2,11.6
GWALIOR,2003,3,15.8
GWALIOR,2003,4,26.0
GWALIOR,2003,5,32.8
GWALIOR,2003,6,35.7
GWALIOR,2003,7,38.8
