STATION,YEAR,MONTH,RAINFALL_MM
INDORE,2009,4,18.7
INDORE,2009,5,0.0
INDORE,2009,6,81.3
INDORE,2009,7,65.7
INDORE,2009,8,65.4
INDORE,2009,9,80.9
INDORE,2009,10,47.9
INDORE,2009,11,0.0
INDORE,2009,12,0.0
INDORE,2010,1,0.0
INDORE,2010,2,15.1
INDORE,2010,3,0.0
INDORE,2010,4,0.0
INDORE,2010,5,40.3
INDORE,2010,6,54.8
INDORE,2010,7,122.4
INDORE,2010,8,49.6
INDORE,2010,9,105.3
INDORE,2010,10,13.9
INDORE,2010,11,0.0
INDORE,2010,12,0.0
INDORE,2011,1,0.0
INDORE,2011,2,37.6
INDORE,2011,3,0.0
INDORE,2011,4,33.8
INDORE,2011,5,28.3
INDORE,2011,6,60.4
INDORE,2011,7,84.0
INDORE,2011,8,81.4
INDORE,2011,9,82.3
INDORE,2011,10,36.7
INDORE,2011,11,47.7
INDORE,2011,12,2.0
INDORE,2012,1,10.6
INDORE,2012,2,0.8
INDORE,2012,3,0.0
INDORE,2012,4,12.1
INDORE,2012,5,23.0
INDORE,2012,6,96.3
INDORE,2012,7,63.4
INDORE,2012,8,94.9
INDORE,2012,9,79.6
INDORE,2012,10,30.6
INDORE,2012,11,15.9
INDORE,2012,12,0.6
INDORE,2013,1,21.5
INDORE,2013,2,31.1
INDORE,2013,3,18.6
INDORE,2013,4,11.5
INDORE,2013,5,6.9
INDORE,2013,6,63.6
INDORE,2013,7,59.9
INDORE,2013,8,103.2
INDORE,2013,9,92.5
INDORE,2013,10,4.8
INDORE,2013,11,6.5
INDORE,2013,12,24.5
INDORE,2014,1,0.0
INDORE,2014,2,13.3
INDORE,2014,3,0.0
INDORE,2014,4,9.9
INDORE,2014,5,0.0
INDORE,2014,6,51.0
INDORE,2014,7,65.6
INDORE,2014,8,86.2
INDORE,2014,9,97.2
INDORE,2014,10,4.6
INDORE,2014,11,4.6
INDORE,2014,12,11.5
INDORE,2015,1,15.4
INDORE,2015,2,2.8
INDORE,2015,3,18.8
INDORE,2015,4,9.5
INDORE,2015,5,7.0
INDORE,2015,6,80.5
INDORE,2015,7,109.0
INDORE,2015,8,123.1
INDORE,2015,9,97.4
INDORE,2015,10,48.8
INDORE,2015,11,0.0
INDORE,2015,12,0.0
INDORE,2016,1,0.0
INDORE,2016,2,11.8
INDORE,2016,3,24.0
INDORE,2016,4,0.0
INDORE,2016,5,0.0
INDORE,2016,6,103.6
INDORE,2016,7,45.7
INDORE,2016,8,77.7
INDORE,2016,9,48.1
INDORE,2016,10,5.1
INDORE,2016,11,0.0
INDORE,2016,12,0.0
INDORE,2017,1,7.4
INDORE,2017,2,19.2
INDORE,2017,3,0.0
INDORE,2017,4,11.6
INDORE,2017,5,36.0
INDORE,2017,6,103.6
INDORE,2017,7,121.2
INDORE,2017,8,75.0
INDORE,2017,9,92.9
INDORE,2017,10,0.0
INDORE,2017,11,26.2
INDORE,2017,12,0.0
INDORE,2018,1,0.0
INDORE,2018,2,35.0
INDORE,2018,3,37.6
INDORE,2018,4,0.0
INDORE,2018,5,12.7
INDORE,2018,6,38.7
INDORE,2018,7,53.9
INDORE,2018,8,87.3
INDORE,2018,9,69.7
INDORE,2018,10,3.7
INDORE,2018,11,0.0
INDORE,2018,12,0.0
INDORE,2019,1,2.9
INDORE,2019,2,0.0
INDORE,2019,3,44.3
INDORE,2019,4,0.0
INDORE,2019,5,2.8
INDORE,2019,6,92.3
INDORE,2019,7,69.4
INDORE,2019,8,74.5
INDORE,2019,9,49.7
INDORE,2019,10,37.9
INDORE,2019,11,16.5
INDORE,2019,12,66.6
INDORE,2020,1,2.4
INDORE,2020,2,0.0
INDORE,2020,3,0.0
INDORE,2020,4,0.0
INDORE,2020,5,38.7
INDORE,2020,6,79.8
INDORE,2020,7,81.5
INDORE,2020,8,110.5
INDORE,2020,9,59.3
INDORE,2020,10,0.0
INDORE,2020,11,23.5
INDORE,2020,12,0.0
INDORE,2021,1,0.0
INDORE,2021,2,0.0
INDORE,2021,3,6.0
INDORE,2021,4,10.4
INDORE,2021,5,0.2
INDORE,2021,6,68.5
INDORE,2021,7,90.0
INDORE,2021,8,82.0
INDORE,2021,9,46.6
INDORE,2021,10,0.0
INDORE,2021,11,0.0
INDORE,2021,12,0.0
INDORE,2022,1,10.2
INDORE,2022,2,17.8
INDORE,2022,3,3.7
INDORE,2022,4,0.0
INDORE,2022,5,0.0
INDORE,2022,6,100.1
INDORE,2022,7,96.7
INDORE,2022,8,90.6
INDORE,2022,9,30.6
INDORE,2022,10,16.5
INDORE,2022,11,12.4
INDORE,2022,12,6.7
INDORE,2023,1,28.4
INDORE,2023,2,11.8
INDORE,2023,3,0.0
INDORE,2023,4,12.9
INDORE,2023,5,10.8
INDORE,2023,6,97.4
INDORE,2023,7,104.0
INDORE,2023,8,39.2
INDORE,2023,9,42.6
INDORE,2023,10,5.4
INDORE,2023,11,11.5
INDORE,2023,12,21.6
BHOPAL,2000,1,9.7
BHOPAL,2000,2,0.0
BHOPAL,2000,3,11.8
BHOPAL,2000,4,17.7
BHOPAL,2000,5,8.6
BHOPAL,2000,6,70.8
BHOPAL,2000,7,96.6
BHOPAL,2000,8,81.4
BHOPAL,2000,9,89.6
BHOPAL,2000,10,25.8
BHOPAL,2000,11,0.0
BHOPAL,2000,12,0.0
BHOPAL,2001,1,20.1
BHOPAL,2001,2,22.4
BHOPAL,2001,3,13.3
BHOPAL,2001,4,0.0
BHOPAL,2001,5,0.0
BHOPAL,2001,6,93.1
BHOPAL,2001,7,85.6
BHOPAL,2001,8,128.9
BHOPAL,2001,9,82.2
BHOPAL,2001,10,14.6
BHOPAL,2001,11,0.0
BHOPAL,2001,12,42.6
BHOPAL,2002,1,36.9
BHOPAL,2002,2,0.0
BHOPAL,2002,3,6.1
BHOPAL,2002,4,0.0
BHOPAL,2002,5,1.8
BHOPAL,2002,6,59.8
BHOPAL,2002,7,96.5
BHOPAL,2002,8,54.2
BHOPAL,2002,9,73.3
BHOPAL,2002,10,0.0
BHOPAL,2002,11,0.1
BHOPAL,2002,12,0.0
BHOPAL,2003,1,0.4
BHOPAL,2003,2,42.0
BHOPAL,2003,3,0.0
BHOPAL,2003,4,56.5
BHOPAL,2003,5,5.3
BHOPAL,2003,6,84.0
BHOPAL,2003,7,68.5
BHOPAL,2003,8,79.3
BHOPAL,2003,9,65.7
BHOPAL,2003,10,0.0
BHOPAL,2003,11,0.0
BHOPAL,2003,12,29.9
BHOPAL,2004,1,0.0
BHOPAL,2004,2,0.0
BHOPAL,2004,3,0.0
BHOPAL,2004,4,23.7
BHOPAL,2004,5,19.4
BHOPAL,2004,6,69.5
BHOPAL,2004,7,55.6
BHOPAL,2004,8,75.2
BHOPAL,2004,9,94.2
BHOPAL,2004,10,0.0
BHOPAL,2004,11,0.0
BHOPAL,2004,12,16.9
BHOPAL,2005,1,11.5
BHOPAL,2005,2,23.5
BHOPAL,2005,3,0.0
BHOPAL,2005,4,0.0
BHOPAL,2005,5,0.0
BHOPAL,2005,6,54.4
BHOPAL,2005,7,38.4
BHOPAL,2005,8,84.2
BHOPAL,2005,9,69.1
BHOPAL,2005,10,4.2
BHOPAL,2005,11,7.3
BHOPAL,2005,12,0.0
BHOPAL,2006,1,11.2
BHOPAL,2006,2,0.0
BHOPAL,2006,3,8.4
BHOPAL,2006,4,5.4
BHOPAL,2006,5,0.0
BHOPAL,2006,6,83.9
BHOPAL,2006,7,88.2
BHOPAL,2006,8,100.6
BHOPAL,2006,9,85.1
BHOPAL,2006,10,38.3
BHOPAL,2006,11,0.0
BHOPAL,2006,12,0.0
BHOPAL,2007,1,15.4
BHOPAL,2007,2,8.7
BHOPAL,2007,3,0.0
BHOPAL,2007,4,0.0
BHOPAL,2007,5,0.0
BHOPAL,2007,6,61.0
BHOPAL,2007,7,89.9
BHOPAL,2007,8,62.8
BHOPAL,2007,9,68.5
BHOPAL,2007,10,56.2
BHOPAL,2007,11,28.0
BHOPAL,2007,12,4.3
BHOPAL,2008,1,0.0
BHOPAL,2008,2,19.2
BHOPAL,2008,3,17.6
BHOPAL,2008,4,17.4
BHOPAL,2008,5,0.0
BHOPAL,2008,6,78.5
BHOPAL,2008,7,83.6
BHOPAL,2008,8,87.6
BHOPAL,2008,9,91.2
BHOPAL,2008,10,21.7
BHOPAL,2008,11,3.6
BHOPAL,2008,12,13.6
BHOPAL,2009,1,10.4
BHOPAL,2009,2,0.0
BHOPAL,2009,3,4.2
BHOPAL,2009,4,5.6
BHOPAL,2009,5,23.8
BHOPAL,2009,6,81.9
BHOPAL,2009,7,71.3
BHOPAL,2009,8,84.4
BHOPAL,2009,9,105.1
BHOPAL,2009,10,1.3
BHOPAL,2009,11,33.9
BHOPAL,2009,12,25.6
BHOPAL,2010,1,10.3
BHOPAL,2010,2,6.6
BHOPAL,2010,3,0.0
BHOPAL,2010,4,51.0
BHOPAL,2010,5,0.0
BHOPAL,2010,6,111.6
BHOPAL,2010,7,71.6
BHOPAL,2010,8,53.1
BHOPAL,2010,9,59.9
BHOPAL,2010,10,4.3
BHOPAL,2010,11,36.0
BHOPAL,2010,12,24.7
BHOPAL,2011,1,4.0
BHOPAL,2011,2,0.0
BHOPAL,2011,3,8.3
BHOPAL,2011,4,10.8
BHOPAL,2011,5,0.0
BHOPAL,2011,6,67.5
BHOPAL,2011,7,67.3
BHOPAL,2011,8,108.4
BHOPAL,2011,9,63.4
BHOPAL,2011,10,0.0
BHOPAL,2011,11,9.1
BHOPAL,2011,12,36.0
BHOPAL,2012,1,0.0
BHOPAL,2012,2,10.7
BHOPAL,2012,3,18.2
BHOPAL,2012,4,1.5
BHOPAL,2012,5,0.0
BHOPAL,2012,6,79.3
BHOPAL,2012,7,69.6
BHOPAL,2012,8,79.7
BHOPAL,2012,9,130.5
BHOPAL,2012,10,0.0
BHOPAL,2012,11,18.6
BHOPAL,2012,12,16.7
BHOPAL,2013,1,16.8
BHOPAL,2013,2,21.4
BHOPAL,2013,3,26.3
BHOPAL,2013,4,32.6
BHOPAL,2013,5,1.7
BHOPAL,2013,6,104.1
BHOPAL,2013,7,87.4
BHOPAL,2013,8,80.6
BHOPAL,2013,9,83.8
BHOPAL,2013,10,0.0
BHOPAL,2013,11,17.9
BHOPAL,2013,12,0.0
BHOPAL,2014,1,10.0
BHOPAL,2014,2,3.1
BHOPAL,2014,3,17.2
BHOPAL,2014,4,0.0
BHOPAL,2014,5,26.5
BHOPAL,2014,6,82.7
BHOPAL,2014,7,103.9
BHOPAL,2014,8,68.8
BHOPAL,2014,9,111.3
BHOPAL,2014,10,0.0
BHOPAL,2014,11,0.0
BHOPAL,2014,12,13.8
BHOPAL,2015,1,0.0
BHOPAL,2015,2,9.9
BHOPAL,2015,3,0.0
BHOPAL,2015,4,18.0
BHOPAL,2015,5,41.9
BHOPAL,2015,6,49.5
BHOPAL,2015,7,79.1
BHOPAL,2015,8,75.2
BHOPAL,2015,9,55.0
BHOPAL,2015,10,3.4
BHOPAL,2015,11,11.9
BHOPAL,2015,12,16.4
BHOPAL,2016,1,17.9
BHOPAL,2016,2,8.9
BHOPAL,2016,3,3.2
BHOPAL,2016,4,0.0
BHOPAL,2016,5,4.2
BHOPAL,2016,6,82.6
BHOPAL,2016,7,96.8
BHOPAL,2016,8,71.1
BHOPAL,2016,9,71.0
BHOPAL,2016,10,0.0
BHOPAL,2016,11,20.7
BHOPAL,2016,12,0.0
BHOPAL,2017,1,4.9
BHOPAL,2017,2,35.1
BHOPAL,2017,3,0.6
BHOPAL,2017,4,9.2
BHOPAL,2017,5,0.1
BHOPAL,2017,6,60.0
BHOPAL,2017,7,116.0
BHOPAL,2017,8,68.6
BHOPAL,2017,9,108.0
BHOPAL,2017,10,6.2
BHOPAL,2017,11,19.0
BHOPAL,2017,12,22.9
BHOPAL,2018,1,26.0
BHOPAL,2018,2,31.3
BHOPAL,2018,3,46.5
BHOPAL,2018,4,39.7
BHOPAL,2018,5,0.0
BHOPAL,2018,6,73.6
BHOPAL,2018,7,90.5
BHOPAL,2018,8,79.5
BHOPAL,2018,9,114.6
BHOPAL,2018,10,5.8
BHOPAL,2018,11,17.3
BHOPAL,2018,12,0.0
BHOPAL,2019,1,13.0
BHOPAL,2019,2,0.0
BHOPAL,2019,3,0.0
BHOPAL,2019,4,9.5
BHOPAL,2019,5,38.7
BHOPAL,2019,6,101.6
BHOPAL,2019,7,76.5
BHOPAL,2019,8,93.0
BHOPAL,2019,9,109.5
BHOPAL,2019,10,0.0
BHOPAL,2019,11,14.9
BHOPAL,2019,12,0.0
BHOPAL,2020,1,4.5
BHOPAL,2020,2,15.9
BHOPAL,2020,3,20.4
BHOPAL,2020,4,28.0
BHOPAL,2020,5,0.0
BHOPAL,2020,6,54.1
BHOPAL,2020,7,70.6
BHOPAL,2020,8,79.1
BHOPAL,2020,9,81.5
BHOPAL,2020,10,24.9
BHOPAL,2020,11,0.0
BHOPAL,2020,12,35.0
BHOPAL,2021,1,0.0
BHOPAL,2021,2,0.0
BHOPAL,2021,3,12.6
BHOPAL,2021,4,25.6
BHOPAL,2021,5,0.0
BHOPAL,2021,6,78.6
BHOPAL,2021,7,94.6
BHOPAL,2021,8,94.7
BHOPAL,2021,9,81.6
BHOPAL,2021,10,23.3
BHOPAL,2021,11,25.0
BHOPAL,2021,12,46.8
BHOPAL,2022,1,27.2
BHOPAL,2022,2,17.3
BHOPAL,2022,3,0.0
BHOPAL,2022,4,1.2
BHOPAL,2022,5,22.4
BHOPAL,2022,6,83.0
BHOPAL,2022,7,128.1
BHOPAL,2022,8,84.0
BHOPAL,2022,9,102.1
BHOPAL,2022,10,17.8
BHOPAL,2022,11,37.7
BHOPAL,2022,12,11.1
BHOPAL,2023,1,3.7
BHOPAL,2023,2,11.4
BHOPAL,2023,3,37.3
BHOPAL,2023,4,0.1
BHOPAL,2023,5,28.8
BHOPAL,2023,6,91.9
BHOPAL,2023,7,74.0
BHOPAL,2023,8,77.0
BHOPAL,2023,9,76.5
BHOPAL,2023,10,0.0
BHOPAL,2023,11,36.9
BHOPAL,2023,12,0.0
JABALPUR,2000,1,0.0
JABALPUR,2000,2,37.8
JABALPUR,2000,3,0.0
JABALPUR,2000,4,24.6
JABALPUR,2000,5,0.0
JABALPUR,2000,6,52.2
JABALPUR,2000,7,100.5
JABALPUR,2000,8,107.7
JABALPUR,2000,9,91.9
JABALPUR,2000,10,20.2
JABALPUR,2000,11,7.1
JABALPUR,2000,12,0.0
JABALPUR,2001,1,0.0
JABALPUR,2001,2,0.0
JABALPUR,2001,3,8.6
JABALPUR,2001,4,23.4
JABALPUR,2001,5,0.0
JABALPUR,2001,6,60.4
JABALPUR,2001,7,91.0
JABALPUR,2001,8,82.1
JABALPUR,2001,9,68.0
JABALPUR,2001,10,0.0
JABALPUR,2001,11,4.6
JABALPUR,2001,12,9.5
JABALPUR,2002,1,7.5
JABALPUR,2002,2,7.4
JABALPUR,2002,3,6.0
JABALPUR,2002,4,0.0
JABALPUR,2002,5,0.0
JABALPUR,2002,6,55.1
JABALPUR,2002,7,65.6
JABALPUR,2002,8,74.1
JABALPUR,2002,9,66.5
JABALPUR,2002,10,0.0
JABALPUR,2002,11,0.0
JABALPUR,2002,12,17.7
JABALPUR,2003,1,1.3
JABALPUR,2003,2,5.9
JABALPUR,2003,3,24.3
JABALPUR,2003,4,0.0
JABALPUR,2003,5,3.2
JABALPUR,2003,6,63.9
JABALPUR,2003,7,113.6
JABALPUR,2003,8,91.4
JABALPUR,2003,9,72.4
JABALPUR,2003,10,0.0
JABALPUR,2003,11,0.0
JABALPUR,2003,12,5.7
JABALPUR,2004,1,9.7
JABALPUR,2004,2,11.6
JABALPUR,2004,3,0.0
JABALPUR,2004,4,29.6
JABALPUR,2004,5,38.5
JABALPUR,2004,6,65.9
JABALPUR,2004,7,91.2
JABALPUR,2004,8,90.8
JABALPUR,2004,9,83.4
JABALPUR,2004,10,2.8
JABALPUR,2004,11,0.0
JABALPUR,2004,12,26.8
JABALPUR,2005,1,0.0
JABALPUR,2005,2,29.3
JABALPUR,2005,3,51.4
JABALPUR,2005,4,8.8
JABALPUR,2005,5,7.7
JABALPUR,2005,6,94.2
JABALPUR,2005,7,64.3
JABALPUR,2005,8,43.3
JABALPUR,2005,9,57.9
JABALPUR,2005,10,12.8
JABALPUR,2005,11,4.9
JABALPUR,2005,12,6.6
JABALPUR,2006,1,23.4
JABALPUR,2006,2,10.3
JABALPUR,2006,3,0.0
JABALPUR,2006,4,1.5
JABALPUR,2006,5,15.7
JABALPUR,2006,6,80.6
JABALPUR,2006,7,101.7
JABALPUR,2006,8,79.5
JABALPUR,2006,9,107.8
JABALPUR,2006,10,5.2
JABALPUR,2006,11,0.0
JABALPUR,2006,12,0.0
JABALPUR,2007,1,6.1
JABALPUR,2007,2,3.6
JABALPUR,2007,3,6.3
JABALPUR,2007,4,0.0
JABALPUR,2007,5,0.0
JABALPUR,2007,6,110.6
JABALPUR,2007,7,75.7
JABALPUR,2007,8,83.0
JABALPUR,2007,9,67.7
JABALPUR,2007,10,0.0
JABALPUR,2007,11,8.2
JABALPUR,2007,12,13.7
JABALPUR,2008,1,24.0
JABALPUR,2008,2,0.0
JABALPUR,2008,3,0.0
JABALPUR,2008,4,0.0
JABALPUR,2008,5,15.8
JABALPUR,2008,6,68.5
JABALPUR,2008,7,69.1
JABALPUR,2008,8,50.4
JABALPUR,2008,9,79.7
JABALPUR,2008,10,7.4
JABALPUR,2008,11,28.9
JABALPUR,2008,12,4.5
JABALPUR,2009,1,0.0
JABALPUR,2009,2,1.5
JABALPUR,2009,3,0.0
JABALPUR,2009,4,34.4
JABALPUR,2009,5,0.0
JABALPUR,2009,6,67.9
JABALPUR,2009,7,93.6
JABALPUR,2009,8,123.1
JABALPUR,2009,9,94.8
JABALPUR,2009,10,31.0
JABALPUR,2009,11,5.6
JABALPUR,2009,12,14.2
JABALPUR,2010,1,45.3
JABALPUR,2010,2,0.0
JABALPUR,2010,3,0.0
JABALPUR,2010,4,29.0
JABALPUR,2010,5,0.0
JABALPUR,2010,6,103.7
JABALPUR,2010,7,99.9
JABALPUR,2010,8,51.6
JABALPUR,2010,9,73.5
JABALPUR,2010,10,31.6
JABALPUR,2010,11,14.1
JABALPUR,2010,12,0.0
JABALPUR,2011,1,6.1
JABALPUR,2011,2,35.6
JABALPUR,2011,3,15.8
JABALPUR,2011,4,0.0
JABALPUR,2011,5,0.0
JABALPUR,2011,6,121.1
JABALPUR,2011,7,75.6
JABALPUR,2011,8,86.1
JABALPUR,2011,9,97.2
JABALPUR,2011,10,1.7
JABALPUR,2011,11,0.0
JABALPUR,2011,12,14.8
JABALPUR,2012,1,18.3
JABALPUR,2012,2,8.6
JABALPUR,2012,3,13.0
JABALPUR,2012,4,0.0
JABALPUR,2012,5,29.8
JABALPUR,2012,6,86.2
JABALPUR,2012,7,84.8
JABALPUR,2012,8,91.3
JABALPUR,2012,9,95.1
JABALPUR,2012,10,30.8
JABALPUR,2012,11,2.2
JABALPUR,2012,12,0.8
JABALPUR,2013,1,0.0
JABALPUR,2013,2,38.4
JABALPUR,2013,3,0.0
JABALPUR,2013,4,28.9
JABALPUR,2013,5,2.3
JABALPUR,2013,6,64.3
JABALPUR,2013,7,77.6
JABALPUR,2013,8,62.3
JABALPUR,2013,9,94.4
JABALPUR,2013,10,39.5
JABALPUR,2013,11,9.5
JABALPUR,2013,12,0.0
JABALPUR,2014,1,0.0
JABALPUR,2014,2,0.0
JABALPUR,2014,3,0.0
JABALPUR,2014,4,35.8
JABALPUR,2014,5,46.2
JABALPUR,2014,6,100.5
JABALPUR,2014,7,95.6
JABALPUR,2014,8,63.6
JABALPUR,2014,9,76.6
JABALPUR,2014,10,18.9
JABALPUR,2014,11,6.8
JABALPUR,2014,12,0.0
JABALPUR,2015,1,0.0
JABALPUR,2015,2,3.3
JABALPUR,2015,3,35.3
JABALPUR,2015,4,0.0
JABALPUR,2015,5,29.4
JABALPUR,2015,6,75.5
JABALPUR,2015,7,72.6
JABALPUR,2015,8,117.7
JABALPUR,2015,9,70.2
JABALPUR,2015,10,7.8
JABALPUR,2015,11,11.5
JABALPUR,2015,12,0.0
JABALPUR,2016,1,15.3
JABALPUR,2016,2,0.0
JABALPUR,2016,3,4.4
JABALPUR,2016,4,38.2
JABALPUR,2016,5,0.0
JABALPUR,2016,6,60.0
JABALPUR,2016,7,95.3
JABALPUR,2016,8,78.0
JABALPUR,2016,9,62.4
JABALPUR,2016,10,0.5
JABALPUR,2016,11,23.3
JABALPUR,2016,12,34.9
JABALPUR,2017,1,4.6
JABALPUR,2017,2,0.0
JABALPUR,2017,3,19.7
JABALPUR,2017,4,6.3
JABALPUR,2017,5,0.0
JABALPUR,2017,6,95.9
JABALPUR,2017,7,85.9
JABALPUR,2017,8,89.3
JABALPUR,2017,9,47.7
JABALPUR,2017,10,0.0
JABALPUR,2017,11,9.0
JABALPUR,2017,12,0.0
JABALPUR,2018,1,13.6
JABALPUR,2018,2,8.5
JABALPUR,2018,3,0.0
JABALPUR,2018,4,0.0
JABALPUR,2018,5,13.7
JABALPUR,2018,6,32.7
JABALPUR,2018,7,92.4
JABALPUR,2018,8,80.4
JABALPUR,2018,9,76.3
JABALPUR,2018,10,0.0
JABALPUR,2018,11,0.0
JABALPUR,2018,12,7.5
JABALPUR,2019,1,11.5
JABALPUR,2019,2,0.0
JABALPUR,2019,3,22.7
JABALPUR,2019,4,1.4
JABALPUR,2019,5,11.0
JABALPUR,2019,6,71.5
JABALPUR,2019,7,82.3
JABALPUR,2019,8,98.4
JABALPUR,2019,9,117.5
JABALPUR,2019,10,0.0
JABALPUR,2019,11,6.4
JABALPUR,2019,12,14.7
JABALPUR,2020,1,0.0
JABALPUR,2020,2,0.0
JABALPUR,2020,3,0.0
JABALPUR,2020,4,46.3
JABALPUR,2020,5,5.5
JABALPUR,2020,6,78.4
JABALPUR,2020,7,58.8
JABALPUR,2020,8,76.3
JABALPUR,2020,9,103.7
JABALPUR,2020,10,16.6
JABALPUR,2020,11,8.9
JABALPUR,2020,12,11.8
JABALPUR,2021,1,8.4
JABALPUR,2021,2,0.0
JABALPUR,2021,3,31.3
JABALPUR,2021,4,0.0
JABALPUR,2021,5,30.9
JABALPUR,2021,6,60.0
JABALPUR,2021,7,96.8
JABALPUR,2021,8,75.2
JABALPUR,2021,9,72.2
JABALPUR,2021,10,37.3
JABALPUR,2021,11,29.3
JABALPUR,2021,12,25.0
JABALPUR,2022,1,13.1
JABALPUR,2022,2,0.0
JABALPUR,2022,3,0.0
JABALPUR,2022,4,0.0
JABALPUR,2022,5,10.7
JABALPUR,2022,6,91.7
JABALPUR,2022,7,97.4
JABALPUR,2022,8,82.5
JABALPUR,2022,9,60.0
JABALPUR,2022,10,15.3
JABALPUR,2022,11,12.0
JABALPUR,2022,12,17.7
JABALPUR,2023,1,13.2
JABALPUR,2023,2,18.5
JABALPUR,2023,3,2.3
JABALPUR,2023,4,27.1
JABALPUR,2023,5,0.0
JABALPUR,2023,6,69.3
JABALPUR,2023,7,86.6
JABALPUR,2023,8,94.2
JABALPUR,2023,9,90.3
JABALPUR,2023,10,19.8
JABALPUR,2023,11,0.0
JABALPUR,2023,12,0.0
GWALIOR,2000,1,12.3
GWALIOR,2000,2,0.5
GWALIOR,2000,3,4.6
GWALIOR,2000,4,21.0
GWALIOR,2000,5,0.0
GWALIOR,2000,6,99.0
GWALIOR,2000,7,77.9
GWALIOR,2000,8,81.4
GWALIOR,2000,9,61.5
GWALIOR,2000,10,24.5
GWALIOR,2000,11,8.8
GWALIOR,2000,12,0.0
GWALIOR,2001,1,0.0
GWALIOR,2001,2,15.2
GWALIOR,2001,3,2.3
GWALIOR,2001,4,37.2
GWALIOR,2001,5,37.8
GWALIOR,2001,6,81.5
GWALIOR,2001,7,75.1
GWALIOR,2001,8,123.4
GWALIOR,2001,9,82.5
GWALIOR,2001,10,5.9
GWALIOR,2001,11,0.0
GWALIOR,2001,12,0.0
GWALIOR,2002,1,0.0
GWALIOR,2002,2,0.0
GWALIOR,2002,3,0.0
GWALIOR,2002,4,0.0
GWALIOR,2002,5,6.6
GWALIOR,2002,6,73.8
GWALIOR,2002,7,86.4
GWALIOR,2002,8,42.5
GWALIOR,2002,9,76.8
GWALIOR,2002,10,9.3
GWALIOR,2002,11,0.0
GWALIOR,2002,12,26.5
GWALIOR,2003,1,43.0
GWALIOR,2003,2,0.0
GWALIOR,2003,3,0.0
GWALIOR,2003,4,10.3
GWALIOR,2003,5,0.0
GWALIOR,2003,6,70.3
GWALIOR,2003,7,112.2
GWALIOR,2003,8,74.6
